# pdferr
# Thu Aug 28 23:39:22 2025
# columns: x,xg,xd,xc,xb,xDg,xDd,xDc,xDb
#      x          xg          xd          xc          xb         xDg         xDd         xDc         xDb
#      1           2           3           4           5           6           7           8           9
#$QQ= 1.0000e+01
  2.3316e-01  2.6533e-01  1.9386e-02  4.8757e-03  0.0000e+00  1.5043e-02  1.3383e-03  2.9719e-04  0.0000e+00
  2.3567e-01  2.6406e-01  1.9478e-02  4.8389e-03  0.0000e+00  1.4982e-02  1.3440e-03  2.9560e-04  0.0000e+00
  2.3817e-01  2.6282e-01  1.9570e-02  4.8026e-03  0.0000e+00  1.4923e-02  1.3496e-03  2.9403e-04  0.0000e+00
  2.4068e-01  2.6158e-01  1.9662e-02  4.7668e-03  0.0000e+00  1.4865e-02  1.3553e-03  2.9248e-04  0.0000e+00
  2.4318e-01  2.6037e-01  1.9754e-02  4.7314e-03  0.0000e+00  1.4807e-02  1.3610e-03  2.9096e-04  0.0000e+00
  2.4569e-01  2.5917e-01  1.9847e-02  4.6964e-03  0.0000e+00  1.4751e-02  1.3666e-03  2.8946e-04  0.0000e+00
  2.4820e-01  2.5798e-01  1.9939e-02  4.6619e-03  0.0000e+00  1.4696e-02  1.3723e-03  2.8797e-04  0.0000e+00
  2.5070e-01  2.5681e-01  2.0031e-02  4.6278e-03  0.0000e+00  1.4642e-02  1.3779e-03  2.8651e-04  0.0000e+00
  2.5321e-01  2.5565e-01  2.0122e-02  4.5941e-03  0.0000e+00  1.4589e-02  1.3835e-03  2.8507e-04  0.0000e+00
  2.5571e-01  2.5451e-01  2.0214e-02  4.5608e-03  0.0000e+00  1.4536e-02  1.3891e-03  2.8365e-04  0.0000e+00
  2.5822e-01  2.5338e-01  2.0306e-02  4.5278e-03  0.0000e+00  1.4485e-02  1.3947e-03  2.8225e-04  0.0000e+00
  2.6073e-01  2.5226e-01  2.0397e-02  4.4953e-03  0.0000e+00  1.4435e-02  1.4003e-03  2.8087e-04  0.0000e+00
  2.6323e-01  2.5116e-01  2.0489e-02  4.4631e-03  0.0000e+00  1.4385e-02  1.4058e-03  2.7951e-04  0.0000e+00
  2.6574e-01  2.5007e-01  2.0580e-02  4.4313e-03  0.0000e+00  1.4336e-02  1.4114e-03  2.7816e-04  0.0000e+00
  2.6824e-01  2.4899e-01  2.0671e-02  4.3998e-03  0.0000e+00  1.4288e-02  1.4169e-03  2.7683e-04  0.0000e+00
  2.7075e-01  2.4793e-01  2.0762e-02  4.3687e-03  0.0000e+00  1.4241e-02  1.4224e-03  2.7552e-04  0.0000e+00
  2.7326e-01  2.4687e-01  2.0852e-02  4.3379e-03  0.0000e+00  1.4195e-02  1.4280e-03  2.7423e-04  0.0000e+00
  2.7576e-01  2.4583e-01  2.0943e-02  4.3074e-03  0.0000e+00  1.4150e-02  1.4335e-03  2.7295e-04  0.0000e+00
  2.7827e-01  2.4480e-01  2.1033e-02  4.2773e-03  0.0000e+00  1.4105e-02  1.4389e-03  2.7169e-04  0.0000e+00
  2.8077e-01  2.4378e-01  2.1123e-02  4.2475e-03  0.0000e+00  1.4061e-02  1.4444e-03  2.7044e-04  0.0000e+00
  2.8328e-01  2.4278e-01  2.1213e-02  4.2179e-03  0.0000e+00  1.4017e-02  1.4499e-03  2.6920e-04  0.0000e+00
  2.8579e-01  2.4178e-01  2.1302e-02  4.1887e-03  0.0000e+00  1.3975e-02  1.4553e-03  2.6799e-04  0.0000e+00
  2.8829e-01  2.4079e-01  2.1391e-02  4.1598e-03  0.0000e+00  1.3933e-02  1.4607e-03  2.6678e-04  0.0000e+00
  2.9080e-01  2.3982e-01  2.1480e-02  4.1312e-03  0.0000e+00  1.3892e-02  1.4662e-03  2.6559e-04  0.0000e+00
  2.9330e-01  2.3885e-01  2.1569e-02  4.1028e-03  0.0000e+00  1.3851e-02  1.4716e-03  2.6442e-04  0.0000e+00
  2.9581e-01  2.3790e-01  2.1657e-02  4.0747e-03  0.0000e+00  1.3811e-02  1.4769e-03  2.6325e-04  0.0000e+00
  2.9832e-01  2.3695e-01  2.1746e-02  4.0469e-03  0.0000e+00  1.3772e-02  1.4823e-03  2.6210e-04  0.0000e+00
  3.0082e-01  2.3602e-01  2.1833e-02  4.0194e-03  0.0000e+00  1.3733e-02  1.4877e-03  2.6097e-04  0.0000e+00
  3.0333e-01  2.3509e-01  2.1921e-02  3.9921e-03  0.0000e+00  1.3695e-02  1.4930e-03  2.5984e-04  0.0000e+00
  3.0583e-01  2.3418e-01  2.2008e-02  3.9650e-03  0.0000e+00  1.3658e-02  1.4984e-03  2.5873e-04  0.0000e+00
  3.0834e-01  2.3327e-01  2.2095e-02  3.9383e-03  0.0000e+00  1.3621e-02  1.5037e-03  2.5763e-04  0.0000e+00
  3.1085e-01  2.3237e-01  2.2182e-02  3.9117e-03  0.0000e+00  1.3585e-02  1.5090e-03  2.5654e-04  0.0000e+00
  3.1335e-01  2.3148e-01  2.2268e-02  3.8854e-03  0.0000e+00  1.3549e-02  1.5143e-03  2.5546e-04  0.0000e+00
  3.1586e-01  2.3060e-01  2.2354e-02  3.8593e-03  0.0000e+00  1.3514e-02  1.5196e-03  2.5439e-04  0.0000e+00
  3.1836e-01  2.2972e-01  2.2439e-02  3.8335e-03  0.0000e+00  1.3479e-02  1.5248e-03  2.5333e-04  0.0000e+00
  3.2087e-01  2.2886e-01  2.2525e-02  3.8079e-03  0.0000e+00  1.3445e-02  1.5301e-03  2.5229e-04  0.0000e+00
  3.2338e-01  2.2800e-01  2.2610e-02  3.7825e-03  0.0000e+00  1.3412e-02  1.5353e-03  2.5125e-04  0.0000e+00
  3.2588e-01  2.2715e-01  2.2694e-02  3.7573e-03  0.0000e+00  1.3379e-02  1.5405e-03  2.5022e-04  0.0000e+00
  3.2839e-01  2.2631e-01  2.2778e-02  3.7323e-03  0.0000e+00  1.3346e-02  1.5457e-03  2.4921e-04  0.0000e+00
  3.3089e-01  2.2548e-01  2.2862e-02  3.7075e-03  0.0000e+00  1.3314e-02  1.5509e-03  2.4820e-04  0.0000e+00
  3.3340e-01  2.2466e-01  2.2945e-02  3.6830e-03  0.0000e+00  1.3282e-02  1.5561e-03  2.4720e-04  0.0000e+00
  3.3591e-01  2.2384e-01  2.3028e-02  3.6586e-03  0.0000e+00  1.3251e-02  1.5613e-03  2.4621e-04  0.0000e+00
  3.3841e-01  2.2303e-01  2.3110e-02  3.6344e-03  0.0000e+00  1.3221e-02  1.5664e-03  2.4524e-04  0.0000e+00
  3.4092e-01  2.2222e-01  2.3192e-02  3.6105e-03  0.0000e+00  1.3191e-02  1.5716e-03  2.4426e-04  0.0000e+00
  3.4342e-01  2.2143e-01  2.3274e-02  3.5867e-03  0.0000e+00  1.3161e-02  1.5767e-03  2.4330e-04  0.0000e+00
  3.4593e-01  2.2064e-01  2.3355e-02  3.5630e-03  0.0000e+00  1.3132e-02  1.5818e-03  2.4235e-04  0.0000e+00
  3.4844e-01  2.1985e-01  2.3436e-02  3.5396e-03  0.0000e+00  1.3103e-02  1.5869e-03  2.4140e-04  0.0000e+00
  3.5094e-01  2.1908e-01  2.3516e-02  3.5164e-03  0.0000e+00  1.3074e-02  1.5920e-03  2.4046e-04  0.0000e+00
  3.5345e-01  2.1831e-01  2.3596e-02  3.4933e-03  0.0000e+00  1.3046e-02  1.5970e-03  2.3953e-04  0.0000e+00
  3.5595e-01  2.1754e-01  2.3675e-02  3.4704e-03  0.0000e+00  1.3019e-02  1.6021e-03  2.3861e-04  0.0000e+00
  3.5846e-01  2.1679e-01  2.3754e-02  3.4476e-03  0.0000e+00  1.2992e-02  1.6071e-03  2.3769e-04  0.0000e+00
  3.6097e-01  2.1604e-01  2.3833e-02  3.4250e-03  0.0000e+00  1.2965e-02  1.6122e-03  2.3679e-04  0.0000e+00
  3.6347e-01  2.1529e-01  2.3911e-02  3.4026e-03  0.0000e+00  1.2939e-02  1.6172e-03  2.3588e-04  0.0000e+00
  3.6598e-01  2.1455e-01  2.3988e-02  3.3803e-03  0.0000e+00  1.2913e-02  1.6222e-03  2.3499e-04  0.0000e+00
  3.6848e-01  2.1382e-01  2.4065e-02  3.3582e-03  0.0000e+00  1.2887e-02  1.6272e-03  2.3410e-04  0.0000e+00
  3.7099e-01  2.1309e-01  2.4142e-02  3.3362e-03  0.0000e+00  1.2862e-02  1.6322e-03  2.3322e-04  0.0000e+00
  3.7350e-01  2.1237e-01  2.4218e-02  3.3144e-03  0.0000e+00  1.2838e-02  1.6371e-03  2.3234e-04  0.0000e+00
  3.7600e-01  2.1166e-01  2.4293e-02  3.2928e-03  0.0000e+00  1.2813e-02  1.6421e-03  2.3147e-04  0.0000e+00
  3.7851e-01  2.1095e-01  2.4368e-02  3.2712e-03  0.0000e+00  1.2789e-02  1.6470e-03  2.3061e-04  0.0000e+00
  3.8101e-01  2.1024e-01  2.4443e-02  3.2499e-03  0.0000e+00  1.2765e-02  1.6519e-03  2.2975e-04  0.0000e+00
  3.8352e-01  2.0955e-01  2.4517e-02  3.2286e-03  0.0000e+00  1.2742e-02  1.6568e-03  2.2890e-04  0.0000e+00
  3.8603e-01  2.0885e-01  2.4590e-02  3.2075e-03  0.0000e+00  1.2719e-02  1.6617e-03  2.2806e-04  0.0000e+00
  3.8853e-01  2.0816e-01  2.4663e-02  3.1865e-03  0.0000e+00  1.2697e-02  1.6666e-03  2.2722e-04  0.0000e+00
  3.9104e-01  2.0748e-01  2.4735e-02  3.1657e-03  0.0000e+00  1.2674e-02  1.6715e-03  2.2638e-04  0.0000e+00
  3.9354e-01  2.0680e-01  2.4807e-02  3.1449e-03  0.0000e+00  1.2653e-02  1.6764e-03  2.2555e-04  0.0000e+00
  3.9605e-01  2.0613e-01  2.4878e-02  3.1243e-03  0.0000e+00  1.2631e-02  1.6812e-03  2.2473e-04  0.0000e+00
  3.9856e-01  2.0546e-01  2.4949e-02  3.1039e-03  0.0000e+00  1.2610e-02  1.6860e-03  2.2390e-04  0.0000e+00
  4.0106e-01  2.0480e-01  2.5019e-02  3.0835e-03  0.0000e+00  1.2589e-02  1.6909e-03  2.2309e-04  0.0000e+00
  4.0357e-01  2.0414e-01  2.5089e-02  3.0633e-03  0.0000e+00  1.2568e-02  1.6957e-03  2.2228e-04  0.0000e+00
  4.0607e-01  2.0348e-01  2.5157e-02  3.0432e-03  0.0000e+00  1.2548e-02  1.7005e-03  2.2147e-04  0.0000e+00
  4.0858e-01  2.0283e-01  2.5226e-02  3.0232e-03  0.0000e+00  1.2528e-02  1.7053e-03  2.2067e-04  0.0000e+00
  4.1109e-01  2.0219e-01  2.5294e-02  3.0033e-03  0.0000e+00  1.2509e-02  1.7100e-03  2.1987e-04  0.0000e+00
  4.1359e-01  2.0155e-01  2.5361e-02  2.9835e-03  0.0000e+00  1.2490e-02  1.7148e-03  2.1908e-04  0.0000e+00
